2026-07-25 15:54:13 | INFO | __main__ | Training log file: log/dit4dit_G1_OPEN_OVEN_20260725_155413/train.log
2026-07-25 15:54:13 | INFO | __main__ | No pretrained checkpoint provided. Starting training from scratch.
2026-07-25 15:54:13 | INFO | __main__ | ================================================================================
2026-07-25 15:54:13 | INFO | __main__ | 📊 Model Parameter Statistics (after freezing):
2026-07-25 15:54:13 | INFO | __main__ |   Total parameters:      10,641,441,815 (10641.442M)
2026-07-25 15:54:13 | INFO | __main__ |   Trainable parameters:  2,222,382,628 (2222.383M)
2026-07-25 15:54:13 | INFO | __main__ |   Frozen parameters:     8,419,059,187 (8419.059M)
2026-07-25 15:54:13 | INFO | __main__ |   Trainable ratio:       20.88%
2026-07-25 15:54:13 | INFO | __main__ | ================================================================================
2026-07-25 15:54:27 | INFO | __main__ | ***** Training Configuration *****
2026-07-25 15:54:27 | INFO | __main__ |   Total optimization steps = 40000
2026-07-25 15:54:27 | INFO | __main__ |   Per device batch size = 4
2026-07-25 15:54:27 | INFO | __main__ |   Gradient accumulation steps = 1
2026-07-25 15:54:27 | INFO | __main__ |   Total batch size = 8
2026-07-25 15:54:27 | INFO | __main__ |   len(vla_train_dataloader) = 4340
2026-07-25 15:54:27 | INFO | __main__ |   len(vla_train_dataloader.dataset) = 34713
2026-07-25 15:54:51 | INFO | __main__ | [Exp: dit4dit_G1_OPEN_OVEN] Step 10, Loss: {'action_dit_loss': 1.2565580606460571, 'future_video_loss': 0.24064038693904877, 'future_video_loss_scaled': 0.24064038693904877, 'total_loss': 1.497198462486267, 'data_time': 0.008086468908004463, 'model_time': 1.4031021120026708, 'learning_rate/backbone_interface': 5.0000000000000004e-08, 'learning_rate/action_model': 5.000000000000001e-07, 'epoch': 0.0})
2026-07-25 15:55:06 | INFO | __main__ | [Exp: dit4dit_G1_OPEN_OVEN] Step 20, Loss: {'action_dit_loss': 1.3271067142486572, 'future_video_loss': 0.31593188643455505, 'future_video_loss_scaled': 0.31593188643455505, 'total_loss': 1.6430386304855347, 'data_time': 0.018589965999126434, 'model_time': 1.4043713361024857, 'learning_rate/backbone_interface': 1.0000000000000001e-07, 'learning_rate/action_model': 1.0000000000000002e-06, 'epoch': 0.0})
2026-07-25 15:55:21 | INFO | __main__ | [Exp: dit4dit_G1_OPEN_OVEN] Step 30, Loss: {'action_dit_loss': 1.3574131727218628, 'future_video_loss': 0.25941452383995056, 'future_video_loss_scaled': 0.25941452383995056, 'total_loss': 1.6168277263641357, 'data_time': 0.03666273201815784, 'model_time': 1.3943976419977844, 'learning_rate/backbone_interface': 1.5000000000000002e-07, 'learning_rate/action_model': 1.5e-06, 'epoch': 0.01})
2026-07-25 15:55:36 | INFO | __main__ | [Exp: dit4dit_G1_OPEN_OVEN] Step 40, Loss: {'action_dit_loss': 1.3106980323791504, 'future_video_loss': 0.3319740891456604, 'future_video_loss_scaled': 0.3319740891456604, 'total_loss': 1.642672061920166, 'data_time': 0.015423109056428075, 'model_time': 1.404651870019734, 'learning_rate/backbone_interface': 2.0000000000000002e-07, 'learning_rate/action_model': 2.0000000000000003e-06, 'epoch': 0.01})
