2026-05-16 16:35:21 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 120, Loss: {'action_dit_loss': 1.0837851762771606, 'future_video_loss': 0.23436008393764496, 'future_video_loss_scaled': 0.23436008393764496, 'total_loss': 1.3181452751159668, 'data_time': 0.010280068999975356, 'model_time': 1.1910162400000104, 'learning_rate/backbone_interface': 2.4000000000000003e-07, 'learning_rate/action_model': 2.4000000000000003e-06, 'epoch': 0.02})
2026-05-16 16:35:33 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 130, Loss: {'action_dit_loss': 1.0086839199066162, 'future_video_loss': 0.26587486267089844, 'future_video_loss_scaled': 0.26587486267089844, 'total_loss': 1.2745587825775146, 'data_time': 0.01883052100004079, 'model_time': 1.1997479749999798, 'learning_rate/backbone_interface': 2.6e-07, 'learning_rate/action_model': 2.6e-06, 'epoch': 0.02})
2026-05-16 16:35:46 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 140, Loss: {'action_dit_loss': 1.1082416772842407, 'future_video_loss': 0.20646825432777405, 'future_video_loss_scaled': 0.20646825432777405, 'total_loss': 1.3147099018096924, 'data_time': 0.011038563999989037, 'model_time': 1.2432337870000083, 'learning_rate/backbone_interface': 2.8e-07, 'learning_rate/action_model': 2.8000000000000003e-06, 'epoch': 0.02})
2026-05-16 16:35:57 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 150, Loss: {'action_dit_loss': 1.0383551120758057, 'future_video_loss': 0.15024589002132416, 'future_video_loss_scaled': 0.15024589002132416, 'total_loss': 1.188601016998291, 'data_time': 0.016870037999979104, 'model_time': 1.1563378900000316, 'learning_rate/backbone_interface': 3.0000000000000004e-07, 'learning_rate/action_model': 3e-06, 'epoch': 0.02})
2026-05-16 16:36:09 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 160, Loss: {'action_dit_loss': 1.0152887105941772, 'future_video_loss': 0.2969210147857666, 'future_video_loss_scaled': 0.2969210147857666, 'total_loss': 1.3122097253799438, 'data_time': 0.01260044499997548, 'model_time': 1.1742518240000095, 'learning_rate/backbone_interface': 3.2e-07, 'learning_rate/action_model': 3.2000000000000003e-06, 'epoch': 0.03})
2026-05-16 16:36:21 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 170, Loss: {'action_dit_loss': 1.0737630128860474, 'future_video_loss': 0.1654777079820633, 'future_video_loss_scaled': 0.1654777079820633, 'total_loss': 1.2392407655715942, 'data_time': 0.017961474999992788, 'model_time': 1.134735825000007, 'learning_rate/backbone_interface': 3.4000000000000003e-07, 'learning_rate/action_model': 3.4000000000000005e-06, 'epoch': 0.03})
2026-05-16 16:36:33 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 180, Loss: {'action_dit_loss': 1.0515671968460083, 'future_video_loss': 0.34433987736701965, 'future_video_loss_scaled': 0.34433987736701965, 'total_loss': 1.3959070444107056, 'data_time': 0.010056883999993715, 'model_time': 1.1527365899999609, 'learning_rate/backbone_interface': 3.6e-07, 'learning_rate/action_model': 3.6e-06, 'epoch': 0.03})
2026-05-16 16:36:45 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 190, Loss: {'action_dit_loss': 1.0440714359283447, 'future_video_loss': 0.3369065523147583, 'future_video_loss_scaled': 0.3369065523147583, 'total_loss': 1.380977988243103, 'data_time': 0.018666605000021264, 'model_time': 1.1397457429999918, 'learning_rate/backbone_interface': 3.8e-07, 'learning_rate/action_model': 3.8e-06, 'epoch': 0.03})
2026-05-16 16:36:57 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 200, Loss: {'action_dit_loss': 0.9936853647232056, 'future_video_loss': 0.1188293844461441, 'future_video_loss_scaled': 0.1188293844461441, 'total_loss': 1.1125147342681885, 'mse_score': 1.003096580505371, 'data_time': 0.009744827000019995, 'model_time': 1.154693167000005, 'learning_rate/backbone_interface': 4.0000000000000003e-07, 'learning_rate/action_model': 4.000000000000001e-06, 'epoch': 0.03})
2026-05-16 16:37:09 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 210, Loss: {'action_dit_loss': 0.9743563532829285, 'future_video_loss': 0.31566914916038513, 'future_video_loss_scaled': 0.31566914916038513, 'total_loss': 1.2900254726409912, 'data_time': 0.030370890000028794, 'model_time': 1.1680207269999983, 'learning_rate/backbone_interface': 4.2000000000000006e-07, 'learning_rate/action_model': 4.2000000000000004e-06, 'epoch': 0.03})
2026-05-16 16:37:21 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 220, Loss: {'action_dit_loss': 1.0392329692840576, 'future_video_loss': 0.3310832381248474, 'future_video_loss_scaled': 0.3310832381248474, 'total_loss': 1.3703162670135498, 'data_time': 0.010866604999989704, 'model_time': 1.1345363789999965, 'learning_rate/backbone_interface': 4.4e-07, 'learning_rate/action_model': 4.4e-06, 'epoch': 0.03})
2026-05-16 16:37:32 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 230, Loss: {'action_dit_loss': 1.0300090312957764, 'future_video_loss': 0.3231862783432007, 'future_video_loss_scaled': 0.3231862783432007, 'total_loss': 1.353195309638977, 'data_time': 0.03825409899997112, 'model_time': 1.1425979869999878, 'learning_rate/backbone_interface': 4.6000000000000004e-07, 'learning_rate/action_model': 4.6e-06, 'epoch': 0.04})
2026-05-16 16:37:44 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 240, Loss: {'action_dit_loss': 0.9296343922615051, 'future_video_loss': 0.15127277374267578, 'future_video_loss_scaled': 0.15127277374267578, 'total_loss': 1.0809071063995361, 'data_time': 0.011131099000010636, 'model_time': 1.162289295999983, 'learning_rate/backbone_interface': 4.800000000000001e-07, 'learning_rate/action_model': 4.800000000000001e-06, 'epoch': 0.04})
2026-05-16 16:37:56 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 250, Loss: {'action_dit_loss': 1.0043495893478394, 'future_video_loss': 0.12067705392837524, 'future_video_loss_scaled': 0.12067705392837524, 'total_loss': 1.1250267028808594, 'data_time': 0.034807456000010006, 'model_time': 1.141876529000001, 'learning_rate/backbone_interface': 5.000000000000001e-07, 'learning_rate/action_model': 5e-06, 'epoch': 0.04})
2026-05-16 16:38:08 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 260, Loss: {'action_dit_loss': 0.901165246963501, 'future_video_loss': 0.1242077499628067, 'future_video_loss_scaled': 0.1242077499628067, 'total_loss': 1.0253729820251465, 'data_time': 0.01133230199997115, 'model_time': 1.1494776069999944, 'learning_rate/backbone_interface': 5.2e-07, 'learning_rate/action_model': 5.2e-06, 'epoch': 0.04})
2026-05-16 16:38:20 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 270, Loss: {'action_dit_loss': 0.9202601313591003, 'future_video_loss': 0.36641761660575867, 'future_video_loss_scaled': 0.36641761660575867, 'total_loss': 1.2866777181625366, 'data_time': 0.031178262000025825, 'model_time': 1.1363978069999803, 'learning_rate/backbone_interface': 5.4e-07, 'learning_rate/action_model': 5.4e-06, 'epoch': 0.04})
2026-05-16 16:38:31 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 280, Loss: {'action_dit_loss': 0.8801930546760559, 'future_video_loss': 0.2929791510105133, 'future_video_loss_scaled': 0.2929791510105133, 'total_loss': 1.1731722354888916, 'data_time': 0.012061701999982688, 'model_time': 1.138889206999977, 'learning_rate/backbone_interface': 5.6e-07, 'learning_rate/action_model': 5.600000000000001e-06, 'epoch': 0.04})
2026-05-16 16:38:44 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 290, Loss: {'action_dit_loss': 0.876145601272583, 'future_video_loss': 0.17855550348758698, 'future_video_loss_scaled': 0.17855550348758698, 'total_loss': 1.0547010898590088, 'data_time': 0.028597482000009222, 'model_time': 1.3505099409999843, 'learning_rate/backbone_interface': 5.800000000000001e-07, 'learning_rate/action_model': 5.8e-06, 'epoch': 0.05})
2026-05-16 16:38:57 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 300, Loss: {'action_dit_loss': 0.8542730212211609, 'future_video_loss': 0.2498217523097992, 'future_video_loss_scaled': 0.2498217523097992, 'total_loss': 1.1040947437286377, 'mse_score': 0.7583905537923177, 'data_time': 0.011111399000014899, 'model_time': 1.1791186720000155, 'learning_rate/backbone_interface': 6.000000000000001e-07, 'learning_rate/action_model': 6e-06, 'epoch': 0.05})
2026-05-16 16:39:09 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 310, Loss: {'action_dit_loss': 0.8655182719230652, 'future_video_loss': 0.29185521602630615, 'future_video_loss_scaled': 0.29185521602630615, 'total_loss': 1.1573734283447266, 'data_time': 0.011572437999973317, 'model_time': 1.1520009349999896, 'learning_rate/backbone_interface': 6.200000000000001e-07, 'learning_rate/action_model': 6.2e-06, 'epoch': 0.05})
2026-05-16 16:39:20 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 320, Loss: {'action_dit_loss': 0.8949060440063477, 'future_video_loss': 0.5854954719543457, 'future_video_loss_scaled': 0.5854954719543457, 'total_loss': 1.4804015159606934, 'data_time': 0.018904292999991412, 'model_time': 1.1319718120000744, 'learning_rate/backbone_interface': 6.4e-07, 'learning_rate/action_model': 6.4000000000000006e-06, 'epoch': 0.05})
2026-05-16 16:39:32 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 330, Loss: {'action_dit_loss': 0.9083747863769531, 'future_video_loss': 0.16012528538703918, 'future_video_loss_scaled': 0.16012528538703918, 'total_loss': 1.06850004196167, 'data_time': 0.011023134999959439, 'model_time': 1.1612777120000146, 'learning_rate/backbone_interface': 6.6e-07, 'learning_rate/action_model': 6.6e-06, 'epoch': 0.05})
